SpeciesName,CommonName
Bothriochloa laguroides ssp. torreyana,"Silver Beardgrass, Sliver Bluestem"
Botrypus virginianus,"Rattlesnake Fern, Virginia Grape Fern"
Bouchea prismatica,Prism Bouchea
Bouteloua curtipendula,Side-Oats Grama
Bowlesia incana,Hoary Bowlesia
Boykinia aconitifolia,"Allegheny Brook-Foam, Brook-Saxifrage, Aconite-Saxifrage"
Brachyelytrum erectum,"Bearded Shorthusk, Long-Awn Woodgrass, Common Shorthusk"
Bradburia pilosa,Soft Golden-Aster
Brasenia schreberi,"Water-Shield, Purple Wen-Dock"
Brassica juncea,"Indian Mustard, Chinese Mustard, Mustard-Greens, Brown Mustard, Leaf Mustard"
Brassica napus,"Oil-Seed Rape, Rutabaga, Canola, Swede Rape, Swedish Turnip"
Brassica nigra,Black Mustard
Brassica rapa,"Field Mustard, Turnip, Bird's Rape, Rapeseed, Wild Rape"
Brickellia cordifolia,"Flyr’s-Nemesis, Flyr’s False Boneset, Flyr’s Brickell-Bush"
Brickellia eupatorioides,Eastern False Boneset
Brintonia discoidea,Rayless Mock Goldenrod
Briza minor,"Little Quaking Grass, Lesser Quaking Grass"
Bromus arvensis,Field Brome
Bromus catharticus,Rescue Grass
Bromus commutatus,"Meadow Brome, Hairy Chess"
Bromus erectus,"Erect Brome, Upright Brome, Short-Branched Brome"
Bromus hordeaceus,"Soft Brome, Soft Chess, Lop Grass"
Bromus inermis,"Smooth Brome, Hungarian Brome"
Bromus japonicus,"Japanese Brome, Japanese Chess"
Bromus nottowayanus,"Nottoway Valley Brome, Satin Brome, Virginia Brome"
Bromus pubescens,"Hairy Woodland Brome, Wood Chess"
Bromus racemosus,"Bald Brome, Smooth Chess"
Bromus secalinus,"Rye Brome, Common Chess, Cheat"
Bromus sterilis,"Poverty Brome, Barren Brome"
Bromus tectorum,"Downy Chess, Downy Brome, Downy Cheat, Cheatgrass"
Broussonetia papyrifera,Paper-Mulberry
Brunnichia ovata,"American Buckwheat-Vine, Ladies'-Eardrops, Redvine"
Bryophyllum daigremontianum,"Mother-Of-Thousands, Devil's-Backbone, Alligator Plant, Mother-Of-Millions, Mexican-Hat-Plant, Alligator’s-Tongue, Maternity-Plant"
Buchnera americana,"American Bluehearts, Prairie Bluehearts, Plains Bluehearts"
Buchnera floridana,"Florida Bluehearts, Savannah Bluehearts"
Buddleja lindleyana,Lindley’s Butterfly-Bush
Buglossoides arvensis,"Corn Gromwell, Field Gromwell"
Bulbostylis barbata,"Water-Grass, Old-World Hairsedge"
Bulbostylis capillaris,"Dense-Tuft Hairsedge, Thread-Leaf Beakseed, Common Hairsedge"
Bulbostylis ciliatifolia var. ciliatifolia,"Savannah Hairsedge, Capillary Hairsedge"
Bulbostylis ciliatifolia var. coarctata,"Elliott’s Hairsedge, Fringed Hairsedge"
Bulbostylis stenophylla,Sandy-Field Hairsedge
Bulbostylis warei,Ware’s Hairsedge
Bupleurum rotundifolium,"Hare’s-Ear, Roundleaf Thorough-Wax"
Burmannia biflora,"Northern Bluethread, Two-Flower Burmannia, Violet Burmannia"
Burmannia capitata,"Southern Bluethread, Cap Burmannia, White Burmannia"
Buxus sempervirens,"Common Box, Common Boxwood"
Cabomba caroliniana,Carolina Fanwort
Cakile constricta,Gulf Coast Sea-Rocket
Cakile lanceolata ssp. pseudoconstricta,Coastal Sea-Rocket
Cakile maritima,European Sea-Rocket
Calamagrostis cinnoides,"Small Reedgrass, Nuttall’s Reedgrass, Arctic Reedgrass"
Calamovilfa arcuata,"Cumberland Sandreed, Cumberland Sandgrass"
Calibrachoa parviflora,"Seaside-Petunia, Wild Petunia"
Callicarpa americana,"American Beauty-Berry, French-Mulberry"
Callicarpa dichotoma,"Purple Beauty-Berry, Chinese Beauty-Berry"
Callirhoe alcaeoides,"Pale Poppy-Mallow, Pink Poppy-Mallow, Light Poppy-Mallow"
Callirhoe digitata,"Finger Poppy-Mallow, Wine-Cup, Fringed Poppy-Mallow"
Callirhoe papaver,"Woodland Poppy-Mallow, Woods Poppy-Mallow"
Callirhoe triangulata,"Clustered Poppy-Mallow, Sand Poppy-Mallow"
Callisia rosea,"Piedmont Roseling, Common Roseling"
Callitriche hermaphroditica,"Northern Water-Starwort, Autumnal Water-Starwort"
Callitriche heterophylla,"Large Water-Starwort, Greater Water-Starwort, Two-Headed Water-Starwort"
Callitriche pedunculosa,Nuttall’s Water-Starwort
Callitriche peploides,Matted Water-Starwort
Callitriche stagnalis,"Pond Water-Starwort, Common Water-Starwort"
Callitriche terrestris,Terrestrial Water-Starwort
Calopogon barbatus,Bearded Grass-Pink
Calopogon multiflorus,Many-Flower Grass-Pink
Calopogon oklahomensis,"Oklahoma Grass-Pink, Prairie Grass Pink"
Calopogon pallidus,Pale Grass-Pink
Calopogon tuberosus,"Tuberous Grass-Pink, Common Grass-Pink, Rose-Wings"
Calycanthus floridus,"Eastern Sweetshrub, Carolina Allspice, Sweet Bubby-Bush, Strawberry-Shrub"
Calycocarpum lyonii,"Cupseed, Lyonia-Vine"
Calyptocarpus vialis,"Straggler-Daisy, Lawn-Flower"
Calystegia catesbeiana,"Catesby’s False Bindweed, Catesby’s Bindweed"
Calystegia sepium ssp. angulata,"Trailing False Bindweed, Trailing Bindweed"
Calystegia sepium ssp. limnophila,"Marsh False Bindweed, Marsh Bindweed"
Calystegia silvatica ssp. fraterniflora,"Large Bindweed, Greater Bindweed, Short-Stalk False Bindweed"
Camassia scilloides,"Wild Hyacinth, Atlantic Camas, Eastern Camas-Lily, Quamash-Lily"
Camelina microcarpa,"Little-Pod False Flax, Lesser Gold-Of-Pleasure, Small-Seed False Flax"
Campanula divaricata,"Southern Harebell, Appalachian Bellflower, Southern Bellflower"
Campanulastrum americanum,"American Bellflower, Tall Bellflower"
Campsis radicans,"Trumpet-Creeper, Cow-Itch Vine"
Canna ×generalis,Garden Canna
Canna flaccida,"Golden Canna, Bandanna-Of-The-Everglades, Yellow Canna, Southern Marsh Canna"
Canna glauca,"Water Canna, Maraca Amarilla, Brazilian Arrow-Root"
Canna indica,"Indian-Shot Canna, Purple Arrow-Root"
Cannabis sativa,"Marijuana, Hemp"
Caperonia palustris,"Texas-Weed, Sacatrapo"
Capsella bursa-pastoris,Shepherd’s-Purse
Capsicum annuum,"Red Pepper, Chile Pepper"
Cardamine angustata,Slender Toothwort
Cardamine bulbosa,"Bulbous Bittercress, Spring Cress"
Cardamine concatenata,"Cutleaf Toothwort, Three-Leaf Toothwort"
Cardamine diphylla,"Two-Leaf Toothwort, Crinkleroot"
Cardamine dissecta,"Dissected Toothwort, Finely-Lobed Toothwort, Thread-Leaf Toothwort, Fork-Leaf Toothwort, Fine-Leaf Toothwort"
Cardamine douglassii,"Limestone Bittercress, Purple Cress, Pink Spring Cress"
Cardamine flexuosa,"Woodland Bittercress, Wavy Bittercress, Roadside Bittercress"
Cardamine hirsuta,"Hairy Bittercress, Common Bittercress"
Cardamine parviflora var. arenicola,"Sand Bittercress, Small-Flower Bittercress"
Cardamine pensylvanica,"Pennsylvania Bittercress, Quaker Bittercress"
Cardiospermum halicacabum,"Balloon-Vine, Love-In-A-Puff, Heart-Seed Vine"
Carduus nutans,"Musk Thistle, Nodding Thistle, Nodding Plumeless Thistle"
Carduus pycnocephalus,"Italian Thistle, Italian Plumeless Thistle"
Carex abscondita,"Thicket Sedge, Hidden-Fruit Sedge"
Carex acidicola,Acid-Loving Sedge
Carex aestivalis,Summer Sedge
Carex aggregata,"Glomerate Sedge, Smooth Clustered Sedge, Crowded Sedge"
Carex alata,"Broad-Wing Sedge, Winged Oval Sedge"
Carex albicans var. albicans,"White-Tinge Sedge, Dry Woods Sedge, Blunt-Scaled Oak Sedge, Covered Sedge"
Carex albicans var. australis,"Bellow’s-Beak Sedge, Slender Oak Sedge"
Carex albolutescens,"Green-White Sedge, Long-Fruited Oval Sedge"
Carex albursina,"White Bear Sedge, Blunt-Scaled Wood Sedge"
Carex amphibola,"Eastern Narrowleaf Sedge, Creek Sedge, Amphibious Sedge, Gray Sedge"
Carex annectens,"Yellow-Fruit Sedge, Yellow Fox Sedge"
Carex appalachica,Appalachian Sedge
Carex atlantica,"Prickly Bog Sedge, Eastern Sedge, Atlantic Sedge"
Carex aureolensis,"Golden-Fruit Sedge, Golden Cat-Tail Sedge"
Carex austrina,Southern Sedge
Carex austrocaroliniana,"South Carolina Sedge, Tarheel Sedge"
Carex austrodeflexa,Canebrake Sedge
Carex baileyi,Bailey’s Sedge
Carex baltzellii,Baltzell’s Sedge
Carex barrattii,Barratt’s Sedge
Carex basiantha,"Basal-Flower Sedge, Southern Willdenow's Sedge, Widow Sedge"
Carex blanda,"Eastern Woodland Sedge, Common Wood Sedge"
Carex brevior,"Short-Beak Sedge, Plains Oval Sedge"
Carex bromoides,"Brome-Like Sedge, Brome Hummock Sedge, Common Brome Sedge"
Carex brysonii,Bryson’s Sedge
Carex bullata,Button Sedge
Carex bushii,"Bush’s Sedge, Long-Scale Green Sedge"
Carex careyana,"Carey’s Sedge, Carey's Wood Sedge"
Carex caroliniana,Carolina Sedge
Carex cephalophora,"Oval-Head Sedge, Short-Head Bracted Sedge, Woodbank Sedge"
Carex cherokeensis,Cherokee Sedge
Carex collinsii,Collins’ Sedge
Carex communis,"Fibrous-Root Sedge, Colonial Sedge, Common Beech Sedge, Colonial Oak Sedge"
Carex comosa,"Bristly Sedge, Long-Hair Sedge, Bottle-Brush Sedge, Bearded Sedge"
Carex complanata,"Flattened Sedge, Flat-Fruit Sedge"
Carex conjuncta,"Soft Fox Sedge, Green-Head Fox Sedge"
Carex corrugata,"Prune-Fruit Sedge, Wrinkle-Fruit Sedge"
Carex crawei,"Crawe’s Sedge, Early Fen Sedge"
Carex crebriflora,"Coastal-Plain Sedge, Close-Flower Sedge"
Carex crinita var. brevicrinis,"Short Hair Sedge, Short-Fringed Sedge"
Carex crinita var. crinita,Fringed Sedge
Carex cristatella,"Crested Sedge, Crested Oval Sedge"
Carex crus-corvi,"Raven-Foot Sedge, Crow-Foot Sedge, Crowfoot Fox Sedge"
Carex cumberlandensis,Cumberland Sedge
Carex dasycarpa,"Sandy-Woods Sedge, Velvet Sedge"
Carex debilis var. debilis,"White-Edge Sedge, Diffuse-Flower Sedge, Weak Sedge, Southern Stalked Sedge"
Carex debilis var. rudgei,Rudge’s Sedge
Carex decomposita,"Cypress-Knee Sedge, Epiphytic Sedge, Broad-Leaf Panicled Sedge"
Carex digitalis var. digitalis,"Slender Woodland Sedge, Narrow-Leaf Wood Sedge"
Carex digitalis var. floridana,Florida Woodland Sedge
Carex digitalis var. macropoda,Long-Stalk Woodland Sedge
Carex eburnea,"Bristle-Leaf Sedge, Ebony Sedge, Ivory Sedge"
Carex elliottii,Elliott’s Sedge
Carex exilis,"Coastal Sedge, Coast Sedge, Coastal Star Sedge"
Carex festucacea,"Fescue Sedge, Fescue Oval Sedge"
Carex fissa var. aristata,"Hammock Sedge, Long-Awned Split Sedge"
Carex flaccosperma,"Thin-Fruit Sedge, Flaccid-Fruit Sedge, Pale Gray Sedge"
Carex floridana,Florida Sedge
Carex frankii,"Frank’s Sedge, Bristly Cat-Tail Sedge"
Carex gholsonii,Gholson’s Sedge
Carex gigantea,"Giant Sedge, Large Sedge"
Carex glaucescens,"Southern Waxy Sedge, Clustered Sedge, Waxy Sedge, Southern Sedge"
Carex glaucodea,"Blue Sedge, Blue Wood Sedge"
Carex godfreyi,Godfrey’s Sedge
Carex gracilescens,"Slender Sedge, Slender Loose-Flower Sedge, Slender Wood Sedge"
Carex gracillima,"Graceful Sedge, Purple-Sheathed Graceful Sedge, Graceful Wood Sedge"
Carex granularis,"Limestone-Meadow Sedge, Pale Sedge, Meadow Sedge"
Carex grayi,Gray’s Sedge
Carex hirsutella,"Fuzzy-Wuzzy Sedge, Hirsute Sedge, Hairy Green Sedge, Hairy-Leaf Sedge"
Carex hitchcockiana,Hitchcock’s Sedge
Carex howei,Howe’s Sedge
Carex hyalinolepis,"Shoreline Sedge, Southern Lake Sedge"
Carex impressinervia,"Ravine Sedge, Impressed-Nerve Sedge"
Carex intumescens,"Greater Bladder Sedge, Shining Burr Sedge, Swollen Sedge"
Carex jamesii,"James’ Sedge, Grass Sedge"
Carex joorii,"Cypress-Swamp Sedge, Joor’s Sedge, Hummock Sedge"
Carex kraliana,Kral’s Sedge
Carex lacustris,"Lake Sedge, Hairy Sedge, Lakebank Sedge"
Carex laevivaginata,"Smooth-Sheath Sedge, Smooth-Sheathed Fox Sedge"
Carex laxiculmis var. copulata,Copulate Sedge
Carex laxiculmis var. laxiculmis,"Spreading Sedge, Weak-Stemmed Wood Sedge"
Carex laxiflora,"Broad Loose-Flower Sedge, Beach Wood Sedge"
Carex leavenworthii,"Leavenworth’s Sedge, Dwarf Bracted Sedge"
Carex leptalea var. harperi,Harper’s Sedge
Carex lonchocarpa,"Southern Long Sedge, Spear-Fruit Sedge"
Carex longii,Long’s Sedge
Carex louisianica,"Louisiana Sedge, Southern Hop Sedge"
Carex lupuliformis,"False Hop Sedge, Hop-Like Sedge, Knobbed Hop Sedge"
Carex lupulina,Common Hop Sedge
Carex lurida,"Sallow Sedge, Lurid Sedge"
Carex meadii,"Mead’s Sedge, Mead's Stiff Sedge"
Carex mesochorea,Midland Sedge
Carex microdonta,"Little-Tooth Sedge, Small-Tooth Sedge"
Carex mitchelliana,Mitchell’s Sedge
Carex molesta,"Troublesome Sedge, Field Oval Sedge"
Carex muehlenbergii var. enervis,Veinless Muhlenberg’s Sedge
Carex muehlenbergii var. muhlenbergii,"Muhlenberg’s Sedge, Sand Sedge, Muhlenberg's Bracted Sedge"
Carex nigromarginata,"Black-Edge Sedge, Black-Margined Sedge"
Carex normalis,"Greater Straw Sedge, Spreading Oval Sedge, Larger Straw Sedge"
Carex oklahomensis,Oklahoma Sedge
Carex oligocarpa,"Richwoods Sedge, Eastern Few-Fruit Sedge, Few-Fruit Gray Sedge"
Carex oxylepis var. oxylepis,Sharp-Scale Sedge
Carex oxylepis var. pubescens,Hairy Sharp-Scale Sedge
Carex pedunculata,"Long-Stalk Sedge, Long-Stalk Hummock Sedge"
Carex pensylvanica,"Pennsylvania Sedge, Common Oak Sedge"
Carex picta,"Painted Sedge, Boott’s Sedge"
Carex pigra,"Lazy Sedge, Lazy Tarheel Sedge"
Carex planispicata,"Flat-Spike Sedge, Single-Plane Sedge"
Carex plantaginea,"Plantain-Leaf Sedge, Seersucker Sedge, Plantain-Leaf Wood Sedge"
Carex prasina,"Drooping Sedge, Leek Sedge, Leek-Green Sedge"
Carex purpurifera,"Purple Sedge, Purple Wood Sedge, Limestone Purple Sedge"
Carex radiata,"Eastern Star Sedge, Straight-Styled Wood Sedge, Radiate Sedge"
Carex reniformis,"Kidney-Shape Sedge, Greater Oval Sedge"
Carex retroflexa,"Reflexed Sedge, Reflexed-Fruit Sedge, Bent-Bract Sedge"
Carex reznicekii,Reznicek’s Sedge
Carex rosea,"Rosy Sedge, Stellate Sedge, Curly-Styled Wood Sedge"
Carex scoparia,"Pointed Broom Sedge, Lance-Fruited Oval Sedge"
Carex seorsa,"Weak Stellate Sedge, Swamp Star Sedge"
Carex socialis,"Low Woodland Sedge, Creeping Woodland Sedge, Social Sedge, Colonial Sedge"
Carex squarrosa,"Squarrose Sedge, Narrow-Leaf Cat-Tail Sedge"
Carex stipata var. maxima,Stalk-Grain Sedge
Carex stipata var. stipata,"Awl-Fruit Sedge, Saw-Beak Sedge"
Carex striata,"Walter’s Sedge, Pocosin Sedge"
Carex striatula,"Lined Sedge, Michaux’s Sedge"
Carex stricta,"Tussock Sedge, Upright Sedge"
Carex styloflexa,"Bent Sedge, Bent-Fruit Sedge"
Carex superata,Limestone-Forest Sedge
Carex swanii,Swan’s Sedge
Carex tenax,"Wire Sedge, Hold-Fast Sedge"
Carex tenera,"Quill Sedge, Slender Sedge, Narrow-Leaf Oval Sedge"
Carex texensis,"Texas Sedge, Texas Bracted Sedge"
Carex thornei,Thorne’s Sedge
Carex timida,Timid Sedge
Carex torta,"Twisted Sedge, Streambed Sedge, Beaked Riverbank Sedge"
Carex triangularis,"Eastern Fox Sedge, Triangular Sedge"
Carex tribuloides var. sangamonensis,"Festival Sedge, Sangamon Sedge"
Carex tribuloides var. tribuloides,"Blunt Broom Sedge, Caltrop Sedge, Awl-Fruit Oval Sedge"
Carex turgescens,"Pinebarren Sedge, Swollen Sedge"
Carex typhina,Common Cat-Tail Sedge
Carex umbellata,"Parasol Sedge, Early Oak Sedge, Hidden Sedge"
Carex venusta,Dark-Green Sedge
Carex verrucosa,Warty Sedge
Carex vestita,"Velvet Sedge, Clothed Sedge, Velvet-Fruit Sedge"
Carex virescens,"Ribbed Sedge, Downy Green Sedge, Slender Green Sedge"
Carex vulpinoidea,"Common Fox Sedge, Brown Fox Sedge"
Carex willdenowii,Willdenow’s Sedge
Carphephorus pseudoliatris,"Bristle-Leaf Chaffhead, Lavender-Lady, False Liatris"
Carpinus caroliniana,"American Hornbeam, Blue-Beech, Muscle-Wood"
Carthamus tinctorius,Safflower
Cartrema americana,"Devilwood, Wild Olive"
Carya aquatica,"Water Hickory, Bitter Pecan"
Carya carolinae-septentrionalis,"Southern Shagbark Hickory, Carolina Shagbark Hickory, Carolina Hickory"
Carya cordiformis,"Bitternut Hickory, Swamp Hickory"
Carya glabra,Pignut Hickory
Carya illinoinensis,Pecan
Carya laciniosa,"Shellbark Hickory, Kingnut Hickory, Bigleaf Shagbark Hickory"
Carya myristiciformis,Nutmeg Hickory
Carya ovalis,"Red Hickory, Small Pignut Hickory"
Carya ovata,Shagbark Hickory
Carya pallida,"Sand Hickory, Pale Hickory"
Carya tomentosa,"Mockernut Hickory, White Hickory"
Castanea dentata,American Chestnut
Castanea mollissima,Chinese Chestnut
Castanea ozarkensis,Ozark Chinquapin
Castanea pumila,"Common Chinquapin, Allegheny Chinquapin"
Castilleja coccinea,"Scarlet Indian-Paintbrush, Eastern Indian Paintbrush, Scarlet Paintbrush"
Castilleja indivisa,"Texas Indian-Paintbrush, Paintbrush, Entire-Leaf Indian-Paintbrush, Texas Paintbrush"
Castilleja kraliana,"Cahaba Indian-Paintbrush, Cahaba Paintbrush"
Casuarina equisetifolia,"Australian-Pine, Beach She-Oak, Australian Beefwood"
Catalpa bignonioides,"Southern Catalpa, Cigar-Tree, Caterpillar-Tree"
Catalpa speciosa,"Northern Catalpa, Catawba-Tree, Indian Cigar-Tree"
Catharanthus roseus,"Madagascar-Periwinkle, Rosy-Periwinkle, Cayenne-Jasmine"
Caulophyllum thalictroides,"Blue Cohosh, Papoose-Root, Green-Vivian"
Cayaponia quinqueloba,"Five-Lobe-Cucumber, Five-Lobe Melon-Leaf"
Cayratia japonica,Bushkiller
Ceanothus americanus var. americanus,"Common New Jersey-Tea, Red-Shank, Freckle-Weed, Red-Root, Wild Snowball"
Ceanothus americanus var. intermedius,Southern New Jersey-Tea
Ceanothus microphyllus,"Little-Leaf Buckbrush, Sandflat Ceanothus, Little-Leaf White-Thorn"
Celastrus orbiculatus,"Oriental Bittersweet, Asian Bittersweet"
Celastrus scandens,"American Bittersweet, Climbing Bittersweet, Wax-Work"
Celosia argentea,Silver Cock’s-Comb
Celosia cristata,Crested Cock’s-Comb
Celtis laevigata,"Sugarberry, Southern Hackberry, Mississippi Hackberry"
Celtis occidentalis,"Common Hackberry, Northern Hackberry"
Celtis tenuifolia,"Dwarf Hackberry, Georgia Hackberry"
Cenchrus biflorus,Indian Sandbur
Cenchrus echinatus,"Southern Sandbur, Hedgehog Grass, Bristly Sandspur, Southern Sandspur"
Cenchrus gracillimus,Slender Sandbur
Cenchrus longispinus,"Long-Spine Sandbur, Northern Sandspur, Common Sandspur, Mat Sandbur"
Cenchrus myosuroides,Big Sandbur
Cenchrus spinifex,"Coastal Sandbur, Field Sandspur, Coastal Sandspur"
Cenchrus tribuloides,"Sand-Dune Sandbur, Dune Sandspur"
Centaurea benedicta,Blessed-Thistle
Centaurea calcitrapa,"Purple Star-Thistle, Red Star-Thistle, Caltrops"
Centaurea cyanus,"Garden Cornflower, Bachelor’s-Buttons"
Centaurea melitensis,Maltese Star-Thistle
Centaurea stoebe ssp. micranthos,"Spotted Knapweed, Bushy Knapweed"
Centaurium pulchellum,"Branched Centaury, Lesser Centaury"
Centella erecta,"Coinleaf, Stiff Spadeleaf, Erect Spadeleaf"
Centrosema virginianum,Spurred Butterfly-Pea
Cephalanthus occidentalis,"Common Buttonbush, Honey-Balls, Globe-Flower"
Cerastium brachypetalum,"Gray Chickweed, Gray Mouse-Ear, Gray Mouse-Ear Chickweed"
Cerastium brachypodum,"Short-Stalk Chickweed, Short-Stalk Mouse-Ear Chickweed"
Cerastium fontanum ssp. vulgare,"Big Chickweed, Common Mouse-Ear, Common Mouse-Ear Chickweed"
Cerastium glomeratum,"Sticky Chickweed, Sticky Mouse-Ear, Sticky Mouse-Ear Chickweed"
Cerastium nutans,"Nodding Chickweed, Nodding Mouse-Ear Chickweed"
Cerastium pumilum,"European Chickweed, European Mouse-Ear Chickweed, Dwarf Mouse-Ear"
Cerastium semidecandrum,"Five-Stamen Chickweed, Little Mouse-Ear, Five-Stamen Mouse-Ear Chickweed"
Ceratiola ericoides,"Sand-Heath, Florida-Rosemary, Sandhill-Rosemary"
Ceratophyllum demersum,"Coon’s-Tail, Common Hornwort, Rigid Hornwort"
Ceratophyllum echinatum,"Spineless Hornwort, Prickly Hornwort"
Ceratopteris richardii,Triangle Water Fern
Cercis canadensis,"Eastern Redbud, Judas-Tree"
Chaenomeles speciosa,Common Flowering-Quince
Chaenorrhinum minus,"Dwarf-Snapdragon, Lesser-Toadflax, Small-Snapdragon"
Chaerophyllum procumbens,Common Spreading Chervil
Chaerophyllum tainturieri var. dasycarpum,Hairy-Fruit Chervil
Chaerophyllum tainturieri var. tainturieri,Smooth-Fruit Chervil
Chaiturus marrubiastrum,"Lion's-Tail, False Motherwort, Horehound-Motherwort"
Chamaecrista deeringiana,"Florida Keys Sensitive-Pea, Florida-Senna, Deering’s Partridge-Pea"
Chamaecrista fasciculata,"Common Partridge-Pea, Sleeping-Plant"
Chamaecrista nictitans,"Wild Sensitive-Plant, Sensitive Partridge-Pea, Common Sensitive-Plant"
Chamaecyparis thyoides,Atlantic White-Cedar
Chamaelirium luteum,"Fairy-Wand, Devil’s-Bit, Blazing-Star, False Unicorn-Root"
Chaptalia tomentosa,"Woolly Sunbonnets, Pineland-Daisy, Night-Nodding Bog-Dandelion"
Chasmanthium latifolium,"Indian Wood-Oats, River-Oats, Fish-On-A-Pole"
Chasmanthium laxum,"Slender Wood-Oats, Slender Spikegrass"
Chasmanthium nitidum,"Shiny Wood-Oats, Shiny Spikegrass, Shiny Spanglegrass"
Chasmanthium ornithorhynchum,"Bird-Bill Wood-Oats, Bird-Bill Spikegrass"
Chasmanthium sessiliflorum,"Longleaf Wood-Oats, Longleaf Spikegrass"
Cheilanthes alabamensis,"Alabama Lip Fern, Smooth Lip Fern"
Cheilanthes lanosa,Hairy Lip Fern
Cheilanthes tomentosa,Woolly Lip Fern
Chelone glabra,"White Turtlehead, Snakehead"
Chelone lyonii,"Pink Turtlehead, Appalachian Turtlehead"
Chelone obliqua,"Red Turtlehead, Purple Turtlehead"
Chenopodium album,"Lamb’s-Quarters, White Goosefoot, White Pigweed"
